Title,Citation,Conference,Publisher,Journal,Date,Authors,AuthorDCU
Types of IT architectures in smart citiesâ€“a review from a business model and enterprise architecture perspective,5,Unknown,Unknown,Unknown,2016,"Zohreh Pourzolfaghar, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling,5,Unknown,Elsevier,Journal of Computational Science,2014,"Marija Bezbradica, Heather J Ruskin, Martin Crane",Marija Bezbradica
Understanding urban mobility and pedestrian movement,4,Unknown,IntechOpen,Unknown,2019,"Marija Bezbradica, Heather J Ruskin",Marija Bezbradica
An overview of user-level usage monitoring in cloud environment,4,Unknown,UKAIS,Unknown,2018,"Manoj Kesavulu, Duc Tien Dang Nguyen, Markus Helfert, Marija Bezbradica",Marija Bezbradica
A usage-based data extraction framework for cloud-based application-an human-computer interaction approach,4,Unknown,Scitepress,Unknown,2017,"Manoj Kesavulu, Markus Helfert, Marija Bezbradica",Marija Bezbradica
"Customer Purchase Behavior Prediction in E-commerce: Current Tasks, Applications and Methodologies",3,Unknown,Unknown,International Workshop New Frontiers in Mining Complex Patterns,2019,"Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",Marija Bezbradica
Modelling impact of morphological urban structure and cognitive behaviour on pedestrian flows,3,International Conference on Computational Science and Its Applications,"Springer, Cham",Unknown,2014,"Marija Bezbradica, Heather J Ruskin",Marija Bezbradica
AI cloud-based smart manufacturing and 3D printing techniques for future in-house production,2,2019 International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM),IEEE,Unknown,2019,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel",Marija Bezbradica
Generic Refactoring Methodology for Cloud Migration-Position Paper,2,International Conference on Cloud Computing and Services Science,SCITEPRESS,Unknown,2017,"Manoj Kesavulu, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Probabilistic pharmaceutical modelling: a comparison between synchronous and asynchronous cellular automata,2,International Conference on Parallel Processing and Applied Mathematics,"Springer, Berlin, Heidelberg",Unknown,2013,"Marija Bezbradica, Heather J Ruskin, Martin Crane",Marija Bezbradica
Stochastic computational modelling of complex drug delivery systems,2,Unknown,Unknown,Unknown,2013,Marija Bezbradica,Marija Bezbradica
High-performance computing for data analytics,2,2012 IEEE/ACM 16th International Symposium on Distributed Simulation and Real Time Applications,IEEE,Unknown,2012,"Dimitri Perrin, Marija Bezbradica, Martin Crane, Heather J Ruskin, Christophe Duhamel",Marija Bezbradica
Probabilistic models for dissolution of ethylcellulose coated microsphere,2,Unknown,ESM-Eurosis,Unknown,2010,"Marija Bezbradica, Ana Barat, Heather J Ruskin, Martin Crane",Marija Bezbradica
Generating and Analyzing Chatbot Responses using Natural Language Processing,2,Unknown,Unknown,Unknown,Unknown,"Moneerh Aleedy, Hadil Shaiba, Marija Bezbradica",Marija Bezbradica
Learning behaviours data in programming education: Community analysis and outcome prediction with cleaned data,1,Unknown,North-Holland,Future Generation Computer Systems,2022,"Tai Tan Mai, Marija Bezbradica, Martin Crane",Marija Bezbradica
Student behaviours in using learning resources in higher education: How do behaviours reflect success in programming education?,1,Unknown,Editorial Universitat PolitÃ¨cnica de ValÃ¨ncia,Unknown,2021,"Tai Mai, Martin Crane, Marija Bezbradica",Marija Bezbradica
Towards Refactoring in Cloud-Centric Internet of Things for Smart Cities,1,Unknown,Unknown,Unknown,2016,"Manoj Kesavulu, Markus Helfert, Marija Bezbradica",Marija Bezbradica
Towards Design Principles for User-Centric Explainable AI in Fraud Detection,Unknown,International Conference on Human-Computer Interaction,"Springer, Cham",Unknown,2021,"Douglas Cirqueira, Markus Helfert, Marija Bezbradica",Marija Bezbradica
Education as a complex system: using physic methods for the analysis of students' learning behaviours in the context of programming education.,Unknown,Unknown,Unknown,Unknown,2021,"Tai Tan Mai, Marija Bezbradica, Martin Crane",Marija Bezbradica
Explainable Sentiment Analysis Application for Social Media Crisis Management in Retail,Unknown,Unknown,Unknown,Unknown,2020,"Douglas Cirqueira, Fernando Almeida, GÃ¼ltekin Cakir, Antonio Jacob, Fabio Lobato, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Retail Strategy in the Age of Retail Apocalypseâ€“Exploring the Role of Customer Experience Orientation on Retail Performance,Unknown,Unknown,Unknown,Unknown,2020,"GÃ¼ltekin Cakir, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Who Wants to Use an Augmented Reality Shopping Assistant Application?,Unknown,Unknown,Unknown,Unknown,2020,"Daniel Mora, Robert Zimmermann, Douglas Cirqueira, Marija Bezbradica, Markus Helfert, Andreas Auinger, Dirk Werth",Marija Bezbradica
Scenario-Based Requirements Elicitation for User-Centric Explainable AI,Unknown,Unknown,Springer Nature,"Machine Learning and Knowledge Extraction: 4th IFIP TC 5, TC 12, WG 8.4, WG 8.9, WG 12.9 International Cross-Domain Conference, CD-MAKE 2020, Dublin, Ireland, August 25-28, 2020, Proceedings",2020,Marija Bezbradica,Marija Bezbradica
Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,Unknown,Unknown,Academic Press,Unknown,2020,"Marija Bezbradica, Martin Crane, Heather J Ruskin",Marija Bezbradica
Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,Unknown,Unknown,Unknown,Unknown,2019,"John Garrigan, Martin Crane, Marija Bezbradica",Marija Bezbradica
A usage analytics model for analysing user behaviour in IBM academic cloud,Unknown,Unknown,Unknown,Unknown,2018,"Manoj Kesavulu, Duc Tien Dang Nguyen, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Usage Analytics: A Process to Extract and Analyse Usage Data to Understand User Behaviour in Cloud,Unknown,International Conference on Computer-Human Interaction Research and Applications,"Springer, Cham",Unknown,2017,"Manoj Kesavulu, Duc-Tien Dang-Nguyen, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Proposing Design Principles for User-Centric Explainable AI in Fraud Detectionâ‹†,Unknown,Unknown,Unknown,Unknown,Unknown,Marija Bezbradica,Marija Bezbradica
This file was downloaded from: http://eprints. qut. edu. au/82681,Unknown,Unknown,Unknown,Unknown,Unknown,"D Perrin, M Bezbradica, M Crane, HJ Ruskin, C Duhamel",Marija Bezbradica
Probabilistic Pharmaceutical Modelling: A Comparison Between Synchronous and Asynchronous Cellular...,Unknown,Unknown,Unknown,Unknown,Unknown,"Marija Bezbradica, Heather J Ruskin, Martin Crane",Marija Bezbradica
Seshat: The global history databank,159,Unknown,Unknown,Cliodynamics: The Journal of Quantitative History and Cultural Evolution,2015,"Peter Turchin, Rob Brennan, Thomas E Currie, Kevin C Feeney, Pieter Francois, Daniel Hoyer, Joseph G Manning, Arkadiusz Marciniak, Daniel Austin Mullins, Alessio Palmisano, Peter Peregrine, Edward AL Turner, Harvey Whitehouse",Rob Brennan
Cross-lingual ontology mappingâ€“an investigation of the impact of machine translation,79,Unknown,Springer Berlin/Heidelberg,The Semantic Web,2009,"Bo Fu, Rob Brennan, Declan Oâ€™Sullivan",Rob Brennan
SCTP congestion control: Initial simulation studies,48,Unknown,Elsevier,Unknown,2001,"Rob Brennan, Thomas Curran",Rob Brennan
Cross-lingual ontology mapping and its use on the multilingual semantic web,45,Unknown,Unknown,"Proceedings of the 1st Workshop on the Multilingual Semantic Web, CEUR",2010,"Bo Fu, Rob Brennan, Declan O'Sullivan",Rob Brennan
